huc10,areasqkm,count,mean,std,percentile_10
0513010108,749.32,10435457,359.67411029531337,26.452933360404693,331.97130126953124
0513010109,538.09,7493923,354.96346359576955,43.70469682460898,305.361083984375
0513010202,364.54,5081007,352.44976911072945,27.2145235359264,315.33689575195314
0513010405,817.81,11359418,407.9646080459404,57.079313377413975,330.6802276611328
0513010205,468.37,6523330,337.17085231009315,35.80035865991095,285.3371215820313
0513010301,762.36,10612493,330.56389370527734,34.87246224641283,283.1778991699219
0513010302,494.99,6895067,308.4707835326328,39.36698791970497,256.8174743652344
0513010406,305.49,4254847,344.1554612892073,62.70378899272565,271.1484680175781
0513010407,471.63,6569359,322.18261294595106,50.999510815018496,255.69451599121095
0513020603,303.01,4216390,192.76291993862048,18.820646057226593,172.89271240234376
0513020606,697.67,9699563,173.70671565306603,15.664719630655055,158.02249450683593
0513010106,654.24,9093916,474.5753481778367,127.2129468848522,316.11285400390625
0513020505,696.48,9686949,173.62591751025013,19.952514376964043,152.15511779785157
0513020506,860.21,11959054,156.05925217830776,20.934569700021893,132.1137237548828
0513020508,787.79,10955541,136.17621986901423,25.51333916199716,104.6483154296875
0513010201,223.76,3120082,381.11199385144363,33.35667093413207,332.1227661132813
0513010203,372.92,5194064,363.902054345114,43.234844598051446,305.1598388671875
0513010204,547.92,7634788,360.8136021589597,40.83842462815356,306.3240051269531
0513010503,335.57,4655387,286.07054322229277,57.81705045426488,199.9035400390625
0513010504,751.49,10443514,336.23414341188226,86.26397530115527,256.3357635498047
0513010505,295.75,4108244,252.75437388821112,54.19268054151568,196.13919067382812
0513020504,1195.58,16596954,156.26656891378985,28.4836192700446,113.14129867553712
0513020604,467.35,6492131,172.04047669401618,15.883312096754358,152.9625701904297
0513020607,726.04,10067711,176.84873473225443,21.65768004206977,151.57766723632812
0513020602,699.51,9712534,201.67455207878808,25.68159591200431,173.89303588867188
0511000105,350.92,4883297,248.53456506946026,33.376007255781026,204.81446533203126
0510020509,579.26,8065486,263.9086854778497,31.37138382830482,226.6374740600586
0510020506,259.11,3611100,288.25126083464875,23.260924884892678,260.00770874023436
0510020508,714.57,9947048,273.16226321618234,20.67845850158272,246.20285034179688
0510020510,277.18,3858618,241.85431778942618,20.178067807038452,221.1782958984375
0511000102,313.32,4360645,266.1719410775241,32.96608032791223,221.2151611328125
0511000103,439.54,6117939,270.6304119737055,39.464702373926315,214.84348754882814
0511000104,749.35,10422784,254.08245321019797,34.43527160772866,208.3908432006836
0511000107,598.93,8334220,222.10258140533847,28.390312687379957,181.87427825927733
0511000405,664.76,9241877,142.73185760857885,20.749407749859415,118.42446594238281
0509010306,414.37,5730689,228.7603183491549,42.63218847639919,166.98970947265624
0509020108,314.61,4352369,260.14785419159085,39.8206761068338,196.79336242675785
0507020106,726.34,10109593,281.76767788772503,57.01401275254959,207.14190979003905
0507020302,691.97,9657784,314.8002846201572,73.26060023219199,219.55828247070312
0507020206,298.35,4165776,444.52356535733077,103.36584677555464,310.71873474121094
0511000505,412.52,5737868,120.88145910641374,10.418658855500986,111.65547943115234
0514010413,620.43,8627391,200.22111620998746,31.407682182607275,160.0161895751953
0513010304,720.2,10022170,286.1707051466898,38.39616307721419,220.06585693359375
0801010002,214.28,2970976,96.81321155068234,12.199718149965873,92.0999984741211
0513020601,313.53,4359516,221.52953125989217,21.631507481289496,197.28237915039062
0513020507,952.63,13247614,140.20508991279488,22.86137595575502,108.1500015258789
0509020310,683.89,9504437,211.97458997308308,41.728271255612874,145.47252807617187
0509010401,302.6,4221665,285.97772300739166,35.49147295471631,237.62979125976562
0510020512,252.33,3512297,241.74119671542584,29.86576720431761,199.44021301269532
0510020502,325.62,4537608,289.57288862325703,34.73811057504776,253.24654235839844
0510020503,862.82,12015926,273.5397724653098,31.69883877998509,232.91207122802734
0714010508,352.21,4864744,100.73201303090153,11.848622482110319,93.60887908935547
0510020513,940.07,13080550,257.0378523838829,24.411782356467995,224.18714904785156
0510020514,404.67,5636851,231.1449083894536,36.86558159883694,168.4462127685547
0510010107,595.01,8288645,275.1905065303195,36.00996943541665,233.44905700683594
0510010108,863.61,12036127,260.22270054146156,40.582625665988644,207.023974609375
0604000603,266.95,3715310,123.4589888865263,15.319657802279469,103.5844955444336
0604000604,400.93,5580978,130.57606462523236,18.870493141392306,103.93255615234375
0604000602,309.19,4302749,150.43133773315617,15.473030519009626,126.93522491455079
0604000508,334.66,4651929,144.98178970487297,19.151207785110344,115.65341186523438
0604000510,531.36,7391754,128.86982115476246,18.53317282767415,107.28959655761719
0604000601,438.68,6101879,162.7934267460892,13.002281699477434,143.5820281982422
0604000509,769.65,10681855,144.43284916337097,29.973326742327583,108.13715362548828
0801020204,840.04,11653953,102.58773482268205,19.320898810414036,84.88540649414062
0801020103,367.64,5120573,123.81283110308163,17.725304372956895,98.0754409790039
